,model,type,var,importance
63,model_0_2,nested_full,cat64,1
64,model_0_2,nested_full,cat65,199
65,model_0_2,nested_full,cat66,486
66,model_0_2,nested_full,cat67,83
67,model_0_2,nested_full,cat68,87
68,model_0_2,nested_full,cat69,13
69,model_0_2,nested_full,cat70,0
70,model_0_2,nested_full,cat71,130
71,model_0_2,nested_full,cat72,1584
72,model_0_2,nested_full,cat73,962
73,model_0_2,nested_full,cat74,198
74,model_0_2,nested_full,cat75,973
75,model_0_2,nested_full,cat76,517
76,model_0_2,nested_full,cat77,207
77,model_0_2,nested_full,cat78,280
78,model_0_2,nested_full,cat79,1799
79,model_0_2,nested_full,cat80,1563
80,model_0_2,nested_full,cat81,2007
81,model_0_2,nested_full,cat82,845
82,model_0_2,nested_full,cat83,802
83,model_0_2,nested_full,cat84,1378
84,model_0_2,nested_full,cat85,332
85,model_0_2,nested_full,cat86,440
86,model_0_2,nested_full,cat87,1870
87,model_0_2,nested_full,cat88,264
88,model_0_2,nested_full,cat89,98
89,model_0_2,nested_full,cat90,213
90,model_0_2,nested_full,cat91,1310
91,model_0_2,nested_full,cat92,302
92,model_0_2,nested_full,cat93,484
93,model_0_2,nested_full,cat94,363
94,model_0_2,nested_full,cat95,156
95,model_0_2,nested_full,cat96,43
96,model_0_2,nested_full,cat97,420
97,model_0_2,nested_full,cat98,110
98,model_0_2,nested_full,cat99,992
99,model_0_2,nested_full,cat100,6509
100,model_0_2,nested_full,cat101,5496
101,model_0_2,nested_full,cat102,260
102,model_0_2,nested_full,cat103,2011
103,model_0_2,nested_full,cat104,1834
104,model_0_2,nested_full,cat105,1389
105,model_0_2,nested_full,cat106,2514
106,model_0_2,nested_full,cat107,3612
107,model_0_2,nested_full,cat108,2090
108,model_0_2,nested_full,cat109,1209
109,model_0_2,nested_full,cat110,9485
110,model_0_2,nested_full,cat111,1769
111,model_0_2,nested_full,cat112,13823
112,model_0_2,nested_full,cat113,10301
113,model_0_2,nested_full,cat114,2453
114,model_0_2,nested_full,cat115,4066
115,model_0_2,nested_full,cat116,15552
116,model_0_2,nested_full,cont1,5604
117,model_0_2,nested_full,cont2,5900
118,model_0_2,nested_full,cont3,5635
119,model_0_2,nested_full,cont4,4483
120,model_0_2,nested_full,cont5,5173
121,model_0_2,nested_full,cont6,6464
122,model_0_2,nested_full,cont7,8802
123,model_0_2,nested_full,cont8,6007
124,model_0_2,nested_full,cont9,4531
125,model_0_2,nested_full,cont10,4643
126,model_0_2,nested_full,cont11,5290
127,model_0_2,nested_full,cont12,4517
128,model_0_2,nested_full,cont13,6221
129,model_0_2,nested_full,cont14,12448
0,model_1_0,nested_full,cat1,1277
1,model_1_0,nested_full,cat2,1140
2,model_1_0,nested_full,cat3,704
3,model_1_0,nested_full,cat4,1235
4,model_1_0,nested_full,cat5,1161
5,model_1_0,nested_full,cat6,875
6,model_1_0,nested_full,cat7,544
7,model_1_0,nested_full,cat8,636
8,model_1_0,nested_full,cat9,1213
9,model_1_0,nested_full,cat10,907
10,model_1_0,nested_full,cat11,907
11,model_1_0,nested_full,cat12,991
12,model_1_0,nested_full,cat13,908
13,model_1_0,nested_full,cat14,171
14,model_1_0,nested_full,cat15,0
15,model_1_0,nested_full,cat16,446
16,model_1_0,nested_full,cat17,127
17,model_1_0,nested_full,cat18,108
18,model_1_0,nested_full,cat19,150
19,model_1_0,nested_full,cat20,20
20,model_1_0,nested_full,cat21,104
21,model_1_0,nested_full,cat22,0
22,model_1_0,nested_full,cat23,1088
23,model_1_0,nested_full,cat24,457
24,model_1_0,nested_full,cat25,883
25,model_1_0,nested_full,cat26,691
26,model_1_0,nested_full,cat27,782
27,model_1_0,nested_full,cat28,544
28,model_1_0,nested_full,cat29,359
29,model_1_0,nested_full,cat30,273
30,model_1_0,nested_full,cat31,422
31,model_1_0,nested_full,cat32,120
32,model_1_0,nested_full,cat33,167
33,model_1_0,nested_full,cat34,40
34,model_1_0,nested_full,cat35,38
35,model_1_0,nested_full,cat36,1155
36,model_1_0,nested_full,cat37,961
37,model_1_0,nested_full,cat38,972
38,model_1_0,nested_full,cat39,459
39,model_1_0,nested_full,cat40,742
40,model_1_0,nested_full,cat41,640
41,model_1_0,nested_full,cat42,205
42,model_1_0,nested_full,cat43,400
43,model_1_0,nested_full,cat44,796
44,model_1_0,nested_full,cat45,399
45,model_1_0,nested_full,cat46,70
46,model_1_0,nested_full,cat47,71
47,model_1_0,nested_full,cat48,23
48,model_1_0,nested_full,cat49,509
49,model_1_0,nested_full,cat50,824
50,model_1_0,nested_full,cat51,126
51,model_1_0,nested_full,cat52,425
52,model_1_0,nested_full,cat53,710
53,model_1_0,nested_full,cat54,273
54,model_1_0,nested_full,cat55,37
55,model_1_0,nested_full,cat56,17
56,model_1_0,nested_full,cat57,472
57,model_1_0,nested_full,cat58,28
58,model_1_0,nested_full,cat59,23
59,model_1_0,nested_full,cat60,48
60,model_1_0,nested_full,cat61,123
61,model_1_0,nested_full,cat62,0
62,model_1_0,nested_full,cat63,10
63,model_1_0,nested_full,cat64,17
64,model_1_0,nested_full,cat65,203
65,model_1_0,nested_full,cat66,539
66,model_1_0,nested_full,cat67,96
67,model_1_0,nested_full,cat68,9
68,model_1_0,nested_full,cat69,15
69,model_1_0,nested_full,cat70,0
70,model_1_0,nested_full,cat71,174
71,model_1_0,nested_full,cat72,1673
72,model_1_0,nested_full,cat73,1162
73,model_1_0,nested_full,cat74,251
74,model_1_0,nested_full,cat75,1167
75,model_1_0,nested_full,cat76,689
76,model_1_0,nested_full,cat77,159
77,model_1_0,nested_full,cat78,258
78,model_1_0,nested_full,cat79,1858
79,model_1_0,nested_full,cat80,1651
80,model_1_0,nested_full,cat81,2204
81,model_1_0,nested_full,cat82,984
82,model_1_0,nested_full,cat83,895
83,model_1_0,nested_full,cat84,1561
84,model_1_0,nested_full,cat85,308
85,model_1_0,nested_full,cat86,487
86,model_1_0,nested_full,cat87,2270
87,model_1_0,nested_full,cat88,269
88,model_1_0,nested_full,cat89,141
89,model_1_0,nested_full,cat90,244
90,model_1_0,nested_full,cat91,1472
91,model_1_0,nested_full,cat92,307
92,model_1_0,nested_full,cat93,530
93,model_1_0,nested_full,cat94,447
94,model_1_0,nested_full,cat95,197
95,model_1_0,nested_full,cat96,68
96,model_1_0,nested_full,cat97,434
97,model_1_0,nested_full,cat98,163
98,model_1_0,nested_full,cat99,1200
99,model_1_0,nested_full,cat100,7356
100,model_1_0,nested_full,cat101,6251
101,model_1_0,nested_full,cat102,313
102,model_1_0,nested_full,cat103,2350
103,model_1_0,nested_full,cat104,2293
104,model_1_0,nested_full,cat105,1558
105,model_1_0,nested_full,cat106,2660
106,model_1_0,nested_full,cat107,4048
107,model_1_0,nested_full,cat108,2337
108,model_1_0,nested_full,cat109,1264
109,model_1_0,nested_full,cat110,10029
110,model_1_0,nested_full,cat111,2234
111,model_1_0,nested_full,cat112,14221
112,model_1_0,nested_full,cat113,10900
113,model_1_0,nested_full,cat114,2527
114,model_1_0,nested_full,cat115,4508
115,model_1_0,nested_full,cat116,16830
116,model_1_0,nested_full,cont1,7474
117,model_1_0,nested_full,cont2,7093
118,model_1_0,nested_full,cont3,6091
119,model_1_0,nested_full,cont4,5283
120,model_1_0,nested_full,cont5,6303
121,model_1_0,nested_full,cont6,7188
122,model_1_0,nested_full,cont7,10533
123,model_1_0,nested_full,cont8,6945
124,model_1_0,nested_full,cont9,5813
125,model_1_0,nested_full,cont10,6016
126,model_1_0,nested_full,cont11,6028
127,model_1_0,nested_full,cont12,5232
128,model_1_0,nested_full,cont13,7221
129,model_1_0,nested_full,cont14,14401
0,model_1_1,nested_full,cat1,452
1,model_1_1,nested_full,cat2,350
2,model_1_1,nested_full,cat3,137
3,model_1_1,nested_full,cat4,347
4,model_1_1,nested_full,cat5,391
5,model_1_1,nested_full,cat6,278
6,model_1_1,nested_full,cat7,186
7,model_1_1,nested_full,cat8,100
8,model_1_1,nested_full,cat9,307
9,model_1_1,nested_full,cat10,353
10,model_1_1,nested_full,cat11,258
11,model_1_1,nested_full,cat12,371
12,model_1_1,nested_full,cat13,344
13,model_1_1,nested_full,cat14,28
14,model_1_1,nested_full,cat15,0
15,model_1_1,nested_full,cat16,85
16,model_1_1,nested_full,cat17,41
17,model_1_1,nested_full,cat18,15
18,model_1_1,nested_full,cat19,30
19,model_1_1,nested_full,cat20,0
20,model_1_1,nested_full,cat21,47
21,model_1_1,nested_full,cat22,4
22,model_1_1,nested_full,cat23,340
23,model_1_1,nested_full,cat24,174
24,model_1_1,nested_full,cat25,373
25,model_1_1,nested_full,cat26,334
26,model_1_1,nested_full,cat27,326
27,model_1_1,nested_full,cat28,149
28,model_1_1,nested_full,cat29,86
29,model_1_1,nested_full,cat30,108
30,model_1_1,nested_full,cat31,202
